Name,Beschreibung,Anschrift,PLZ,Stadt,Ansprechpartner,Telefon,Telefax,Mail,Website
Deutsche Epilepsievereinigung Landesverband NRW gem.e.V.,Epilepsiekontaktstelle.,Daimlerstr. 59,57072,Siegen,Herr Marc Vervenne,0271231629001726417171,02712316291,info-epilepsie-siegen@t-online.de, http//www.de-nrw.de/index.php?id=index
DiverSIty e.V.- lesBische Frauen und Transgender,LesBische Frauen und Transgender,Freudenberger Straße 67,57078,Siegen,DiverSIty e. V.,027153297,02712383550,diversity-siegen@gmx.de, http//www.diversity-siegen.de
DRK Kaan-Marienborn e.V.,,Vereinsheim: Augärtenstraße 2,57074,Siegen,Klaus Dieter Welsch (Rotkreuzleiter),01715181880,,info@drk-kaan.de, http//www.drk-kaan.de
DRK Kreisverband Siegen-Wittgenstein e.V.,DRK Kreisverband,Bismarckstraße 68,57076,Siegen,Herr Henze,0271337160,02713371666,info@drk-siegen-wittgenstein.de, http//www.drk-siegen-wittgenstein.de
DRK Ortsverein Niederschelden e. V.,Homepage des DRK Ortsvereins Niederschelden e. V.,Freiengründer Str. 76,57080,Siegen,Hans-Uwe Schütz,0271356541,,drk-niederschelden@web.de, http//www.drk-niederschelden.de.am
DRK Siegen-Nord e.V.,Rotkreuzgemeinschaft Siegen-Nord e.V,Schneppenkauten 1,57076,Siegen,Joachim Steinbrück,027173532,02714058341,info@ov-siegen-nord.drk.de, http//www.drk-siegen-nord.de
DRK Stadtverband Siegen,DRK Stadtverband Siegen,Kontakt:,E-Mail:,info@drkinsiegen.de,E-Mail: info@drkinsiegen.de,,,info@drkinsiegen.de, http//www.drkinsiegen.de
HsM Initiative gegen Gewalt im Alter e.V.,Niederschwelliges Angebot für Senioren,St.-Johann-Str. 7  MGZ Martini,57074,Siegen,Karin Kulik,02716609787,027125049777,hsm-siegen@arcor.de, http//www.hsm-siegen.de
Jugendrotkreuz Kaan-Marienborn,Jugendrotkreuz Kaan-Marienborn...,Beitenbacher Str. 4,57074,Siegen,Markus Epple,027162252,027165099,markus-epple@web.de, http//www.jrk-kaan.de.vu
Lebendiges Haus e.V.,Mehrere Generationen unter einem Dach ...,Melanchtonstraße 61,57074,Siegen,Clemens M. Kolbe,02712316679,027151446,info@lebendiges-haus.de, http//www.lebendiges-haus.de
Malteser Hilfsdienst e. V.,Hilfs- u. Rettungsorganisation,Hüttenstraße 16 c,57078,Siegen,Stadtverband Siegen,027185611,02713178641,info@malteser-siegen.de, http//www.malteser-siegen.de
MB-SI - Mehr Breitband für Siegen-Wittgenstein e.V.,,Dellweg 20,57078,Siegen,A.Vetter,,032121468618,info@mb-si.de, http//www.mb-si.de
MS (Multiple Sklerose) Selbsthilfegruppe Siegen e.V.,MS Selbsthilfegruppe,Waldstraße 110,57080,Siegen,Birgit Rabanus,0271350368,,info@ms-shg-si.de, http//www.ms-shg-si.de/
Mutter-Kind-Hilfswerk e.V.,Mutter-/Vater-Kind-Kurberatung,Lohweg 25 b,57076,Siegen,Anne Krüger,0271790797,027176973,kurberatung@t-online.de, http//www.mukikurberatung.de
Mütterzentrum Siegen e.V.,Von Müttern für Familien,Ziegelwerkstraße 54,57074,Siegen,Ramona Röther,027120449,,info@muetterzentrum-siegen.de, http//www.muetterzentrum-siegen.de
Notgemeinschaft Hilfe am Grabe Birlenbach,Sterbekasse,Abendröthe 14,57078,Siegen,Werner Heinbach,027184601,,,
Notgemeinschaft Hilfe am Grabe Eiserfeld,Sterbekasse,Gartenstr. 105,57080,Siegen,Detlev Nigge,0271385254,,infosterbekasse@aol.com, http//www.sterbekasse-eiserfeld.de
Notgemeinschaft Hilfe am Grabe Klafeld-Geisweid,Sterbekasse,Am Steinbruch 9,57078,Siegen,Hermann Lohölter,027183156,,hermann.lohoelter@gmx.de,
Psychosoziale Unterstützung e.V.,Unterstützung von belasteten Einsatzkräften,Weidenauer Straße 270,57076,Siegen,Karl-Heinz Richter,02714044744,02714044728,k.richter@siegen.de, http//www.psu-siwi.de
respAction e. V.,respAction e.V. ist ein gemeinnütziger Verein mit einem jungen motivierten Team welcher erlebnis- abenteuer- und naturpädagogische Seminare Trainings und Events im In- und Outdoorbereich anbietet.,Strucksfeld 10,42499,Hückeswagen,Christine Schneider,+4971511733334,+4971511733335,info@respaction.com, http//www.respaction.com
Schwule Initiative Siegen e. V.,Selbsthilfe für Les-bi-schwule und Transgender,Freudenberger Straße 67,57072,Siegen,Ansgar Cziba,027153297,02712383550,info@andersroom.de, http//www.andersroom.de
Sterbekasse Hilfe am Grabe Gosenbach,Sterbekasse,Denkmalsweg 35,57080,Siegen,Günter Zimmermann,0271351441,0271381642,grabhilfe-gosenbach@online.de, http//www.hilfe-am-grabe-gosenbach.de
Sterbekasse Kaan-Marienborn/Weidenau a.G.,Versicherungsverein auf Gegenseitigkeit,Rödger Str. 62,57074,Siegen,Geschäftsführer: Rudi Werner,02713032471,02713032450,sterbekasse.kaan-marienborn.weidenau@mail.de,
Sterbekassen-Verein Siegen Versicherungsverein auf Gegenseitigkeit - gegr. 1857,Sterbekasse,Marienweg 12,57555,Mudersbach,Reiner Senner,0271353687,02713878128,sterbekassenverein-siegen@t-online.de, http//www.sterbekassenverein-siegen.de
Sterbekassenverein a.G. Siegen-Kaan-Marienborn,Sterbekassenverein a.G.,Rödger Str. 62,57074,Siegen,Klaus Hambloch Rudi Werner,02713032471,02713032450,sterbekassenverein.kaan-marienborn@arcor.de,
Türkisch-Deutscher Elternverein e. V. (TÜDEV),TÜDEV baut Brücken mit Bildung.,Obere Kaiserstraße 6,57078,Siegen,Gül Ditsch,,,tuedev@gmail.com, http//www.tuedev.eu
Verein Deutsch - Türkischer Akademiker e.V.,Nachhilfeschule Kulturveranstaltungen etc.,Sohlbacherstr.20,57078,Siegen,Serdar Han Ceyhan,02713032910,02713032910,info@vdta-siegen.de, http//www.vdta-siegen.de
Verein für Soziale Arbeit und Kultur Südwestfalen e.V.,Soziale Beratung und Kulturarbeit ...,Sandstraße12,57072,Siegen,Telefon: (0271) 38783-0,0271387830,02713878320,info@vaks.info, http//www.vaks.info/
1. Amateur-Boxclub Siegerland e.V.,Gründungsjahr: 1956,Postfach 100146,57001,Siegen,Andreas Hemp,01601116150,,abc.andreas@aol.de,
1. Badminton Club Siegen e.V.,,Bubergstraße 105,57072,Siegen,Regina Schlosser,027137602,,regina@schlosser-si.de, http//www.bc-siegen.de
1. FC Dautenbach 1958 e.V. Siegen,Ein Verein im Herzen der Region,57076 Siegen,,Kontakt:,Jochen Strauch Thomas Sieper,0271485091oder,,strauch@fcdautenbach.de / webmaster@fcdautenbach.d, http//www.fcdautenbach.de
1. FC Sieghüttte 1997,Ein Verein für jedes Hobbyturnier in Sachen Fussball!,Bergmannsweg 40,57080,Siegen,Michael Schneider,02713824019,,info@sieghuette.de, http//www.sieghuette.de
Abt. Aikido der Judovereinigung Siegerland e.V.,Aikido in der Judo-Vereinigung Siegerland e.V.,Sieghütter Hauptweg 9,57072,Siegen,Thomas Sieler,027142379,0271484192,info@aikido-in-siegen.de, http//www.aikido-in-siegen.de
AC Siegen e.V.,KDK im Siegerland und Umgebung.,Hochstr. 5a,57076,Siegen,Iris Kunkel,027171994,027171994,acsiegen@web.de, http//www.acsiegen.de
AIKIDO COOPERATION INTERNATIONAL,,Untere Dorfstraße 165,57074,Siegen,Geschäftsstelle des A.C.I.,027164128,02716609427,info@aikido-aci.de, http//www.aikido-aci.de
AIKIDO DOJO SIEGEN,,Barbaraweg 20,57076,Siegen,Geschäftsstelle,027164128und6609427,02716609428,info@aikido-siegen.de, http//www.aikido-siegen.de
Aikido im TuS AdH Siegen-Weidenau,Aikido,Köhlerweg 20,57076,Siegen,S. Leiendecker &amp Marion Peter,01772397748,,info@aikido-weidenau.de, http//www.aikido-siegen-weidenau.de
ASC Siegen e.V.,,Postfach 210227,57026,Siegen,Björn Bachmann,016096746780,,spielbetrieb@siegensentinels.de, http//www.siegensentinels.de
Automobil- und Yachtclub Siegerland e.V.,Segelclub an der Sonderner Talbrücke (Biggesee),In der Burbach 13,57223,Kreuztal,Eckhard Arbes (1. Vorsitzender),02732896660,02732896690,e.arbes@aycs-bigge.de, http//www.aycs-bigge.de
Badminton Kreisverband Siegerland-Wittgenstein e.V.,,Welterstraße 56,57072,Siegen,Ulrich Laber,02714852081,02714852082,ulrich.laber@badminton-nrw.de,
BC Buchen (Badmintontreff Buchen),Badminton mit netten Leuten. Spaß und Sport.,Buchener Strasse 26,57078,Siegen,Thomas Vetter,027186782ab19.00,02712390438,Th.Vetter@vetter-siegen.de, http//www.badmintontreff-buchen.de.vu
Billard Club Siegtal 1989 e.V.,Billard,Hohler Weg 75,57072,Siegen,Klaus Schumacher,02712509297,,info@bc-siegtal.de, http//www.bc-siegtal.de
Bogensportclub Siegen e. V.,Kleiner selbstständiger Verein mit Trainingsgelände in Eiserfeld...,57234 Wilnsdorf,,Kontakt:,N. Stahl,0273947628,,webmaster@bogensport-siegen.de, http//www.bogensport-siegen.de
Brasilianisch-Deutsches Zentrum für Kultur Sport und Tanz e. V.,Capoeira,.,57074,Siegen,K. Teixeira,,,boca.a.boca@hotmail.com, http//www.cadenciacapoeira.com
BSG Geisweid e.V. - Verein für Gesundheitsförderung,Verein für Gesundheitsförderung,Postfach 22 31 53,57037,Siegen,Stefan Justus,027186558,,familie-justus@t-online.de,
Budo Siegen e.V.,Sportverein mit Schwerpunkt Taekwondo,Sandstrasse 173,57072,Siegen,Kami Sohrabi,02712400195,,kamisohrabi@gmx.de, http//www.taekwondo-siegerland.de
BUSHIDO-SIEGEN e.V.,Bushido - Siegen,Untere Dorfstraße 165,57074,Siegen,Rolf Kringe,02719399130,027140571391,bushido-siegen@gmx.de, http//www.bushido-siegen.de
Bürbacher Spielvereinigung 09 e.V.,Fußball Tischtennis Badminton Aerobic Gymnastik Radsport,Postfach 12 01 50,57022,Siegen,Herr Dornhöfer,02716906214,,j.dornhoefer@herkules-group.com,
DJK TuS 02 Siegen e.V.,Tischtennis Turnen Fußball,Hagener Straße 18,57074,Siegen,Michael Pontz,02712319644,02714057888,info@djk-siegen.de, http//www.djk-siegen.de
DLRG Ortsgruppe Siegen e. V.,Die Ortsgruppe Siegen der Deutschen Lebens-Rettungs-Gesellschaft hat...,Am Silberstern 15,57258,Freudenberg,Martin Henning (Vorsitzender),02734435379,,info@siegen.dlrg.de, http//www.siegen.dlrg.de
DLRG Weidenau e.V.,Maßnahmen zur Bekämpfung des Ertrinkungstodes,Wartburgstraße 9,57078,Siegen,Heinz-Peter Stötzel,027177349739,027177349739,, http//www.weidenau.dlrg.de
Eiserfelder Turnverein 1880 e.V.,Kinderturnen / Eltern-Kind / Rhönrad / Prellball / Volleyball / Gymnastik für Frauen / Aerobic / Stepaerobic / Tischtennis ....,Lindenstraße 76c,57080,Siegen,Friedhelm Kunz,0271383229,,friedhelm.kunz@eiserfeldertv.de, http//www.eiserfeldertv.de
Fallschirmsportclub NRW  e.V.,AusbildungTandemsprünge,Kaiserschacht 14a,57080,Siegen,H.-Jürgen Künzel,0271387242,0271387242,hjhkuenzel@aol.com, http//www.fscnrw.de
fat tire flyer Siegerland e.V.,Mountainbikeverein,Lindenstr. 39,57080,Siegen,Jörg Balzer,01713531456,,fat-tire-flyer@web.de, http//www.fat-tire-flyer.de
FC Grün-Weiss Siegen e.V.,FC Gruen-Weis Siegen e.V. ein Familiensportverein stellt sich vor,Steinstraße 2,57072,Siegen,Gerd Stöckle,027122790,,info@gw-siegen.de, http//www.gw-siegen.de
Gebrauchshundsportverein GHSV Siegen e.V.,Hundesportverein ...,Wellersbergstraße,57072,Siegen,Renate Geduhn,027336632,,ghsvsiegen@web.de, http//www.ghsvsiegen.de
Golf Club Siegen-Olpe e.V.,Wir freuen uns auf Sie ...,Am Golfplatz,57482,Wenden,Sekretariat,0276297620,02762976212,info@golfclub-siegen-olpe.de, http//www.golfclub-siegen-olpe.de
Golfclub Siegerland e.V.,...wo man (sich) trifft,Berghäuser Weg,57223,Kreuztal,Klaus Braas,0273259470,02732594724,klaus.braas@gc-siegerland.de, http//www.gc-siegerland.de
International Combat Arts,Moderne Selbstverteidigung,Ziegeleistr.20,57078,Siegen,Andreas Holz,01608301867,,senseisports@web.de, http//www.International-Combat-Arts.de
Judo-Freunde Siegen-Lindenberg e.V.,,Auf dem Groben 6,57080,Siegen,Hans-Werner Krämer,01752307414,,hans-werner.kraemer@judofreunde-siegen.de, http//www.judofreunde-siegen.de
Judo-Vereinigung Siegerland e.V.,Sportverein für die ganze Familie mit 16 Abteilungen zu humanen Preisen,Sieghütter Hauptweg 9,57072,Siegen,Heinrich Kleinert,027142379,0271484192,info@judo-vereinigung.de, http//www.judo-vereinigung.de
Karateverein Bushido Siegen e.V.,Karateverein traditionell,Untere Dorfstraße 165,57072,Siegen-Bürbach,Rolf Kringe,027151710,027140571391,vorstand@bushido-siegen.de, http//www.bushido-siegen.de
Kick-Boxing Team Siegerland,Abteilung der Judo-Vereinigung Siegerland e. V.,Sieghütter Hauptweg 9,57072,Siegen,Dipl.-Ing. Jens Walbersdorf,02712404510,0271484192,info@kickboxen-siegen.de, http//www.kickboxen-siegen.de
Kick-Boxing Team Siegerland e. V.,Kickboxen in der Stadt unterm Krönchen.,Friedrich-Wilhelm-Straße 64,57074,Siegen,Dipl.-Ing. Jens Walbersdorf,0271394900281,0271394900289,info@kickboxen-siegen.de, http//www.kickboxen-siegen.de
Kung-Fu und Taiji,Kung-Fu und Taiji beim Verein für chinesische Kampf- und Heilkunst e.V.,Seelbacher Weg 14,57072,Siegen,Björn Henke,015777394932,,info@kungfu-siegen.de, http//www.kungfu-siegen.de
Luftsportverein Siegerland e.V.,Auf dem Segelfluggelände Eisernhardt betreibt der Verein...,In der Thalen 9,57258,Freudenberg,Marco Berners,02713757696,02713720268,marco.berners@t-online.de, http//www.lsv-siegerland.de/
minigolf club siegen e.v.,Die Oase im Grünen am Rande der Stadt,an der alche,57074,siegen,manfred r. götz,027152828,027120124,minigolfinsiegen@goldmail.de, http//www.minigolfinsiegen.de
MSC Scuderia 700 Hüttental e. V. im ADAC,Der erfolgreichste Siegerländer Motorsportclub im Automobilslalomsport ...,Trupbacher Str.96,57072,Siegen,Jörg Schneider,0271374691,,jblschneider@aol.com, http//www.scuderia700.de
Pool Billard Club Magic Queue Siegen 1988 e.V.,Billardverein der interessierten Menschen diesen Sport näher bringen möchte.,Dielfestrasse 2,57234,Wilnsdorf,Torsten Vitt,02713900004,02713900008,magic-queue-siegen-1988@arcor.de, http//www.magic-queue-siegen.de/
Reha-Sport-Gemeinschaft Siegen e.V.,Fachverein für Rehabilitation durch Sport ...,Damaschkestraße 34,57074,Siegen,Ilona Meyer,027184831,02717402523,meyer@reha-sg-siegen.de, http//www.reha-sg-siegen.de
Reitverein Mühlenbachtal,Ausbildung von Pferd und Reiter bis Klasse S...,Vor dem Steinchen 22,57074,Siegen,Familie Wassmann,027163977,02716610092,henrik.wassmann@gmx.de, http//www.reitstall-wassmann.com
Rhythmik Sport Club Siegen,Fitnesstraining für Groß und Klein,Höhstraße 28,57074,Siegen,Helga Dietrich,027154136,,info@rsc-siegen.de, http//www.rsc-siegen.de
Rollschuhsportgemeinschaft Siegen e.V.,Herzlich willkommen bei der Rollschuhsportgemeinschaft Siegen ...,Schloßblick 36,57074,Siegen,Thomas von Fugler,,,Thomas.von.Fugler@t-online.de, http//www.rsg-siegen.de
RSV 06 Eiserfeld,Rasensportverein 06 Eiserfeld e.V.,Mühlgasse 8,35745,Herborn,Michael Krämer,02772923277,,info@rsv06eiserfeld.de, http//www.rsv06eiserfeld.de
Schachverein Caissa Gosenbach-Eiserfeld,,Postfach 320246,57555,Mudersbach,Bernd Münker,,02713878946,caissa.gosenbach@t-online.de,
Schwimmvereinigung Neptun-Siegerland 1913 e.V.,Internetpräsenz der Schwimmvereinigung Neptun-Siegerland 1913 e.V.,Löhrtor 15,57072,Siegen,Klaus Holthoff-Frank,027121979u.01775345629,,info@schwimmen-siegen.de, http//www.schwimmen-siegen.de
Schützengilde Alchetal,Die Schützengilde Alchetal ist einer der erfolgreichsten Schützenvereine in Siegen! Besonders die Jugendarbeit steht bei diesem Verein im Vordergrund aber auch die Tradition kommt nicht zu kurz.,Theodor-Noa-Str.13,57074,Siegen,Andre Hähner,027165378,,webmaster@alchetal.de, http//www.alchetal.de
SG Siegen-Giersberg e.V.,Fit unter`m Sender lautet das Motto der Sportgemeinschaft Siegen-Giersberg...,Postfach 10 02 27,57002,Siegen,Dirk Schreiber,027146568,,Dirkschreiber@t-online.de, http//www.siegen-giersberg.de
Shin-Zen.Siegen e.V.,Traditionelles Shotokan-Karate (DJKB) Anfänger- sowie Fortgeschrittenentraining für Kinder Jugendliche und Erwachsene,Oberer Hengsbacher Weg 80,57080,Siegen,Helmut Hähner (1. Vorsitzender),0271310846,,karin.haehner@unitybox.de, http//www.shin-zen.de
Shotokan-Karate Niederschelden e.V.,Karate als Freizeitsport,Kirchberg 11,57080,Siegen,Holger Eggert,0271355954,,info@shotokan-niederschelden.de, http//www.shotokan-niederschelden.de
Siegen Phoenix Steelers [Baseball &amp Softball Club],Baseball &amp Softball in Siegen-Weidenau: mit offiziellem Liga-Spielbetrieb für Schüler (m/w) Jugendliche (m/w) &amp Erwachsene... NRW Landesliga NRW Verbandsliga &amp Mixed-Fun-Liga,Zum Söhler 17,57076,Siegen,Adrian Jilek,01789883815,,info@phoenix-steelers.de, http//www.phoenix-steelers.de
Siegen Pirates Baseball e.V.,,Kiefernweg 13,57271,Hilchenbach,Coach Hans Weisse,027338408,,coach@siegen-pirates.de, http//www.siegen-pirates.de
Siegener Reitverein e. V.,Reitverein mit Schwergewicht bei Springen und Voltigieren...,Leimbachstr. 260,57074,Siegen,Marc Ostendarp,0271336299+331298+01783021130,0271336299,,
Siegener SC 07/09 e.V. - Tennisabteilung,Tennisverein,Schultestr. 6,57076,Siegen,Hans-Dieter Haardt,027143434,027124929,dieter.haardt@freenet.de, http//www.siegenersc-tennis.de/
Siegener SC Tennisabteilung,Tennisverein,Fürstenweg 2,57072,Siegen,siehe Homepage,sieheHomepage,sieheHomepage,ssc@siegenersc-tennis.de, http//www.siegenersc-tennis.de
Siegener Schachverein 1878,Schach für jedermann...,Obenstruthstraße 22,57072,Siegen,Thomas Wallasch,027156904oder01777607149,,wallasch@siegener-schachverein.de, http//siegener-schachverein.de
Singapore Nia Kwang Pugilistic Association Germany e.V.,Kung-Fu Verein,Badstraße 5,57072,Siegen,Dennis Seet,,0271382352,info@yingyongtang.de, http//www.yingyongtang.de
Sportfischerverein Hüttental e.V.,Angelfischerei und Castingsport,Hofbachstraße 102,57078,Siegen,Walter Bartkowiak,027181331oder01703830058,,sfvhuettental1959@web.de, http//www.sportfischerverein-huettental.de
Sportfreunde Siegen von 1899 e.V.,Sportfreunde Siegen,Leimbachstr. 248,57074,Siegen,Herr Steinemann,0271353315,,info@sportfreunde-online.de, http//www.sportfreunde-online.de
Stadtsportverband Siegen e.V.,Der Stadtsportverband Siegen e.V. (SSV) stellt sich vor...,Birkenweg 34 A,57080,Siegen,c/o Maik Otto 1. Vorsitzender,02713177401,02713177402,info@stadtsportverband-siegen.de, http//www.stadtsportverband-siegen.de
SuS Niederschelden,,Am Rosengarten 58,57080,Siegen,Michael Solbach,01713581366,,m.soli@online.de,
SuS Niederschelden - Abteilung Tischtennis,,Maiweg 17 a,57080,Siegen,Volker Siedentop,02712509725,,mailto, http//www.sus-niederschelden.de
SV Birlenbach 64,,Postfach 223 443,57040,Siegen,Geschäftsführer Holger Kunze,,,hkunze@gmx.de,
SV Gosenbach 1963 e.V.,Fussball- und Tennisverein,Postfach 31 03 29,57046,Siegen,Ulrike Neugebauer (1. Vorsitzende),,,info@svgosenbach.de, http//www.svgosenbach.de
SV Setzen 1911 e.V.,Sportverein,Edelmann,57078,Siegen,Ralf,02713131847,,ralf.edelmann@svsetzen.de, http//www.svsetzen.de
SV Weidenau/Geisweid e.V.,Schach macht Spaß!! Erleben sie es mit uns!,Sohlbacher Str. 135,57078,Siegen,Daniel Mohr,027189088355,027189088356,schach@weidenau-geisweid.de, http//www.weidenau-geisweid.de
Tanz-Sport-Club Schwarz-Gold Siegen e.V.,Tanzen im ältesten Tanz-Sport-Club Siegens,Wiesenstr. 66,57072,Siegen,Jürgen Tuppeck,0271331617,,info@schwarz-gold-siegen.de, http//www.schwarz-gold-siegen.de
Tanz-Sport-Gemeinschaft Blau-Gold Siegen e.V.,Der Tanzsportverein in Siegen-Geisweid - im Si-Haus,Bergstr. 31,57078,Siegen,Carsten Giesler,02717411336,02717411339,info@blau-gold-siegen.de, http//www.blau-gold-siegen.de
Tanzsportverein Krönchen Siegen e.V.,Tanzsportverein Krönchen Siegen,Am Bastenberg 17,57072,Siegen,Harald Witzel,0271371431Anrufbeantworter,,kroenchensiegen@gmx.de, http//www.kroenchen-siegen.de
Tauchsport- und Forschungsgemeinschaft Siegerland,Wir sind einer der ältesten Tauchsportvereine in Deutschland...,Postfach 10 09 25,57009,Siegen,Peter Wilms,027145493,,info@tfs-siegen.de, http//www.tfs-siegen.de
TC- Octopus Siegen e.V.,Auf diesen Seiten wollen wir unseren Tauchclub und  die alles andere als lebensfeindliche UnterWasserWelt etwas näher bringen...,Marienborner Straße 105,57074,Siegen,Michael Biazeck,0271682266Mobil,027184004,michael.biazeck@tc-octopus.de, http//www.tc-octopus.de
TG Nautilus Siegerland e.V.,Tauchsportgemeinschaft,57080 Siegen,,Kontakt:,Matthias Oft,02736299535,,oft@selzer-automotive.de,
Turn- und Sportgemeinschaft Siegen 1846 e.V.,,Burgstrasse 28,57072,Siegen,Vorstand Geschäftsstelle montags 1830 - 2000 Uhr,027152613,02713030454,tsg-siegen@t-online.de, http//www.tsg-siegen.de
Turngemeinde FRIESEN Klafeld-Geisweid 1889 e.V.,Moderner Großverein mit diversen Angeboten im Breiten- und Wettkampfsport...,Droste-Hülshoff-Str. 2,57078,Siegen,Dr. Horst C. Uzar,027189269,027189269,webmaster@tg-friesen.de, http//www.tg-friesen.de/
TuS Auf den Hütten Weidenau (AdH),Willkommen beim Turn- und Sportverein 'Auf den Hütten'  Weidenau e.V.,Köhlerweg 20,57076,Siegen-Weidenau,1. Vorsitzender Hans Jürgen Berg Geschäftsführer Dirk Mülle,027174616,,info@adh-weidenau.de, http//www.adh-weidenau.de
TuS 1900 Eisern - Abteilung Tennis,,Weisgerberstraße 23,57080,Siegen,1. Vorsitzender Paul-Hermann Langenbach,,,info@tus-eisern-tennis.de, http//www.tus-eisern-tennis.de
TuS 1900 Eisern Abteilung Tischtennis,,Auf den Feldern 2,57080,Siegen,Gunther Gelber,0271390437,,tuseiserntischtennis@gmx.de, http//www.tus-eisern-tischtennis.de
TV 1960 Langenholdinghausen,,Fußfeld 4,57078,Siegen,Karl-Heinz Messerschmidt,0271351777,,tv1960l@gmx.de, http//---
TV Eiserfeld 74 e.V.,Tennisverein,Ahornweg 9,57074,Siegen,Rudi Birlenbach,0271336686,02712330266,tveiserfeld74@gmx.de, http//www.tv-eiserfeld.de
TV Gosenbach von 1895 e.V.,Wir sind ein Turnverein mit vielfältigem Angebot,Keppelscher Hof 41 A,57080,Siegen,Holger Siebert,02712508315,,info@tv-gosenbach.de, http//www.tv-gosenbach.de
TV Jahn Siegen,Vielseitiges Sportangebot in Siegens Zentrum...,Diemstraße 12,57072,Siegen,Guido Müller,027154633,,vorstand@jahn-siegen.de, http//www.jahn-siegen.de
Verein für chinesische Kampf- und Heilkunst e.V.,Verein für die chinesischen Kampfkünste Kung-Fu und Taiji.,Freudenberger Straße 452,57072,Siegen,Erich Clemens,015777394932,,info@kungfu-siegen.de, http//www.kungfu-siegen.de
Verein für Flugsport Geisweid e. V.,Segelfliegen und Motorsegeln,Hengsbachstraße 16,57080,Siegen,A. Nies und Hans-Hermann Wied,0271311039oder0,0271310050,euroglide@topmail.de, http//www.segelflug.de/vereine/geisweid/euroglide
VfL Klafeld-Geisweid 08 e.V.,Ein Fußballverein stellt sich vor...,Postfach 22 35 28,57041,Siegen,Gerald Kühn,01718314133,,vfl-klafeld1908@email.de,
VTB Siegen 1986 e.V.,VauTeBe - der etwas andere Verein,Liegnitzer Str. 68,57072,Siegen,Gerd Peter,0271316165,0271316165,vtb-siegen@aol.com,
WingTsun Kampfkunstschule Siegen,Kampfkunst &amp realistische Selbstverteidigung,Friesenstr. 19,57078,Siegen,Jens Schneider,02718909464,,jesch73@web.de, http//www.wt-kampfkunstschule.de
Zhong Yang Chow Gia Gou Shu Association,Schöne und informative Seite über das CHOW GIA QUAN Kung-Fu System,Sieghütter Hauptweg 9,57072,Siegen,Patrick Schönemann / Björn Henke,027142379,,info@chowgia.de, http//www.chowgia.de
